"字典名称不得为空","Dictionary name is required"
"推荐语不能超过 30 字","Recommendation cannot exceed 30 characters"
"封面地址不能超过 500 字","Cover URL cannot exceed 500 characters"
"简介不能超过 500 字","Intro cannot exceed 500 characters"
"帖子标题不能超过 200 字","Post title cannot exceed 200 characters"
"评论/书评内容不能超过 1000 字","Comment/review content cannot exceed 1000 characters"
"昵称不能超过 64 字","Nickname cannot exceed 64 characters"
"邮箱不能超过 128 字","Email cannot exceed 128 characters"
"评论内容不得为空","Comment content is required"
"操作成功","Success"
"错误请求","Bad request"
"状态失效，请重新登录","Session expired, please login again"
"对不起，您权限不足，操作异常，请联系管理员","Sorry, your permission is insufficient, please contact the administrator"
"对不起，资源未找到","Sorry, resource not found"
"内部错误","Internal error"
"参数错误","Invalid parameter"
"操作异常，请检查","Operation failed, please check"
"数据解析异常","Data parse error"
"数据解析异常：%s","Data parse error: %s"
"数据查询失败","Failed to query data"
"数据查询失败：%s","Failed to query data: %s"
"数据新增失败：%s","Failed to create data: %s"
"数据新增失败","Failed to create data"
"数据未变更","No data changed"
"数据更新异常","Failed to update data"
"数据更新异常：%s","Failed to update data: %s"
"数据删除失败","Failed to delete data"
"数据删除失败：%s","Failed to delete data: %s"
"数据不存在","Data not found"
"内部错误：%s","Internal error: %s"
"错误请求：%s","Bad request: %s"
"认证失败：%s","Authentication failed: %s"
"仅超级管理员可访问","Only the super admin can access this"
"限流服务异常","Rate limit service error"
"请求过于频繁，请稍后再试","Requests too frequent, please try again later"
"禁止访问","Forbidden"
"数据库连接获取失败","Failed to get database connection"
"数据权限处理失败，请联系管理员","Failed to process data permission, please contact the administrator"
"账号或密码错误","Incorrect account or password"
"公告标题不得为空","Notice title is required"
"公告内容不得为空","Notice content is required"
"公告状态不得为空","Notice status is required"
"阅读次数不得小于0","View count cannot be less than 0"
"公告标题已存在，请重新输入","Notice title already exists, please re-enter"
"分类名称不得为空","Category name is required"
"该分类名称已被使用","Category name is already in use"
"分类不存在，请检查","Category not found, please check"
"文章名称不得为空","Article name is required"
"文章名称已被使用","Article name is already in use"
"文章内容不得为空","Article content is required"
"文章分类编号错误","Invalid article category ID"
"请选择一个平台","Please select a platform"
"请输入版本号","Please enter the version number"
"请选择下载类型","Please select a download type"
"下载失败","Download failed"
"请设置发布状态","Please set the publish status"
"请选择app类型","Please select an app type"
"请选择一个app文件上传","Please select an app file to upload"
"每次仅可上传一个文件","Only one file can be uploaded at a time"
"更新内容不得为空","Update content is required"
"该版本已经存在，请重新输入","Version already exists, please re-enter"
"oss url生成失败：%s","Failed to generate OSS URL: %s"
"app上传失败：%s","Failed to upload app: %s"
"app上传失败","Failed to upload app"
"本地Url根地址为空","Local URL root is empty"
"oss app上传失败：%s","Failed to upload app to OSS: %s"
"app上传成功","App uploaded successfully"
"HelloWorld!","HelloWorld!"
